state	type_with_type	type_with_flowers	flowers_with_type	flowers_with_flowers
14980000	1	0.459710592961265	0.459710592961265	1
14990000	1	0.385200993117036	0.385200993117036	1
1.5e+07	1	0.413591779037793	0.413591779037793	1
15010000	1	0.406022367269595	0.406022367269595	1
15020000	1	0.31410320192325	0.31410320192325	1
15030000	1	0.466120856462969	0.466120856462969	1
15040000	1	0.243687962161468	0.243687962161468	1
15050000	1	0.463187077386331	0.463187077386331	1
15060000	1	0.413066656033533	0.413066656033533	1
15070000	1	0.39650756349187	0.39650756349187	1
15080000	1	0.60685204797299	0.60685204797299	1
15090000	1	0.207798399467827	0.207798399467827	1
15100000	1	0.401212771201005	0.401212771201005	1
15110000	1	0.529418821745124	0.529418821745124	1
15120000	1	0.667486530868001	0.667486530868001	1
15130000	1	0.580383932628233	0.580383932628233	1
15140000	1	0.678375376036358	0.678375376036358	1
15150000	1	0.616777545134085	0.616777545134085	1
15160000	1	0.621989521144257	0.621989521144257	1
15170000	1	0.467430474021509	0.467430474021509	1
15180000	1	0.423101050136492	0.423101050136492	1
15190000	1	0.622447954864509	0.622447954864509	1
15200000	1	0.45450547862696	0.45450547862696	1
15210000	1	0.497104741544694	0.497104741544694	1
15220000	1	0.204287289335933	0.204287289335933	1
15230000	1	0.492850512655307	0.492850512655307	1
15240000	1	0.448942454903833	0.448942454903833	1
15250000	1	0.606702678623821	0.606702678623821	1
15260000	1	0.615565004484931	0.615565004484931	1
15270000	1	0.506294115395664	0.506294115395664	1
15280000	1	0.394136559736876	0.394136559736876	1
15290000	1	0.54699112242311	0.54699112242311	1
15300000	1	0.174370938427862	0.174370938427862	1
15310000	1	0.441559467920142	0.441559467920142	1
15320000	1	0.283303980846211	0.283303980846211	1
15330000	1	0.569231659231121	0.569231659231121	1
15340000	1	0.702245082996297	0.702245082996297	1
15350000	1	0.618947315902773	0.618947315902773	1
15360000	1	0.21334185106372	0.21334185106372	1
15370000	1	0.714233977228835	0.714233977228835	1
15380000	1	0.373314051592482	0.373314051592482	1
15390000	1	0.555742986802848	0.555742986802848	1
15400000	1	0.43848277673066	0.43848277673066	1
15410000	1	0.584308443372392	0.584308443372392	1
15420000	1	0.229836336594265	0.229836336594265	1
15430000	1	0.14050085928185	0.14050085928185	1
15440000	1	0.492241769397611	0.492241769397611	1
15450000	1	0.581646123792399	0.581646123792399	1
15460000	1	0.561972800351421	0.561972800351421	1
15470000	1	0.538216166945496	0.538216166945496	1
15480000	1	0.422107775837685	0.422107775837685	1
15490000	1	0.449512993886727	0.449512993886727	1
15500000	1	0.474450827280475	0.474450827280475	1
15510000	1	0.51562422305622	0.51562422305622	1
15520000	1	0.563561475760594	0.563561475760594	1
15530000	1	0.388359794896468	0.388359794896468	1
15540000	1	0.431741688763381	0.431741688763381	1
15550000	1	0.748019035969526	0.748019035969526	1
15560000	1	0.562671819777207	0.562671819777207	1
15570000	1	0.454234356980672	0.454234356980672	1
15580000	1	0.349668387926778	0.349668387926778	1
15590000	1	0.743534464508248	0.743534464508248	1
15600000	1	0.513279984625527	0.513279984625527	1
15610000	1	0.70350734324909	0.70350734324909	1
15620000	1	0.625518065053232	0.625518065053232	1
15630000	1	0.423451513109506	0.423451513109506	1
15640000	1	0.550240450247956	0.550240450247956	1
15650000	1	0.333405940545791	0.333405940545791	1
15660000	1	0.395377078324576	0.395377078324576	1
15670000	1	0.421755008467649	0.421755008467649	1
15680000	1	0.538873038526191	0.538873038526191	1
15690000	1	0.651160398905549	0.651160398905549	1
15700000	1	0.594407288296587	0.594407288296587	1
15710000	1	0.624434036697112	0.624434036697112	1
