state	type_with_type	type_with_flowers	flowers_with_type	flowers_with_flowers
15170000	1.40117949594147	3.05466102217719	3.05466102217719	30.4788255160916
15180000	2.73897381415209	4.14553080740139	4.14553080740139	35.0496920979588
15190000	8.81478096663706	11.0973212987498	11.0973212987498	36.0594174757398
15200000	14.9827927325308	11.8188912025122	11.8188912025122	45.1317789954684
15210000	12.0000210489952	12.1063787504596	12.1063787504596	49.4254571051682
15220000	4.96448703857902	2.64341952445339	2.64341952445339	33.7267981856761
15230000	5.97805000545575	6.79504262150986	6.79504262150986	31.7976043728258
15240000	0.947708799415855	2.83326759501418	2.83326759501418	42.0260837686575
15250000	2.18106014330244	5.81567298901963	5.81567298901963	42.1289359865747
15260000	2.61950484961007	6.78563649796635	6.78563649796635	46.3889061294368
15270000	1.57721442430136	3.60229335090303	3.60229335090303	32.0967938886337
15280000	2.03262895392575	3.31343458945512	3.31343458945512	34.7700449884637
15290000	2.47298299449156	5.66214284023247	5.66214284023247	43.3291287823128
15300000	3.14187420313821	1.85283991791827	1.85283991791827	35.9367497377101
15310000	9.27383132843069	7.32262092623151	7.32262092623151	29.6548348217083
15320000	11.6110533359797	6.94115784736806	6.94115784736806	51.6995624217729
15330000	6.71547604548762	8.7937649881157	8.7937649881157	35.5381497294045
15340000	30.9217502962268	23.9145880798518	23.9145880798518	37.50458175061
15350000	3.45680130598618	6.4451307425915	6.4451307425915	31.3676279409155
15360000	1.12756859942177	1.4926053893601	1.4926053893601	43.410513170297
15370000	16.0666004217355	19.8758365764208	19.8758365764208	48.1998657651245
15380000	3.31150086143657	4.80404015466844	4.80404015466844	50.0080259176172
15390000	5.5697185516677	8.14662118974748	8.14662118974748	38.5810295977174
15400000	7.08950843878702	7.61834270993262	7.61834270993262	42.579426583631
15410000	1.95396312894208	4.65165764096115	4.65165764096115	32.4350669350071
15420000	2.71413870671559	2.37467931772121	2.37467931772121	39.3315008950699
15430000	2.40544310239571	1.45009111450259	1.45009111450259	44.2830508283201
15440000	6.47177824873303	8.01186847570226	8.01186847570226	40.9342717169329
15450000	1.65824215462452	4.51345682063306	4.51345682063306	36.3122329909426
