state	type_with_type	type_with_size	type_with_flowers	size_with_type	size_with_size	size_with_flowers	flowers_with_type	flowers_with_size	flowers_with_flowers
2380000	1	-0.171994185939162	-0.599198166967603	-0.171994185939162	1	0.139195510760884	-0.599198166967603	0.139195510760884	1
2390000	1	-0.103783287599516	-0.688348468256872	-0.103783287599516	1	0.204293880190738	-0.688348468256873	0.204293880190738	1
2400000	1	0.214184696308756	-0.588953554521505	0.214184696308756	1	-0.0730232792755855	-0.588953554521505	-0.0730232792755856	1
2410000	1	-0.0735929398640891	-0.583404101391443	-0.0735929398640891	1	-0.07070147442725	-0.583404101391443	-0.07070147442725	1
2420000	1	-0.170135504823667	-0.640453274733473	-0.170135504823668	1	0.0925992781274076	-0.640453274733473	0.0925992781274076	1
2430000	1	-0.0386104929521342	-0.548435785800153	-0.0386104929521342	1	-0.175989670233849	-0.548435785800153	-0.175989670233849	1
2440000	1	-0.251266024759549	-0.723170338741223	-0.251266024759549	1	0.156375541611144	-0.723170338741223	0.156375541611144	1
2450000	1	-0.236634377834452	-0.563033552468212	-0.236634377834452	1	0.0244998271671746	-0.563033552468212	0.0244998271671746	1
2460000	1	0.11319383550032	-0.550066582379425	0.11319383550032	1	-0.00320354027038576	-0.550066582379425	-0.00320354027038576	1
2470000	1	-0.107995309794847	-0.530559337799943	-0.107995309794847	1	-0.0200679967982448	-0.530559337799943	-0.0200679967982448	1
2480000	1	-0.27266396473131	-0.480505969458722	-0.27266396473131	1	0.202797019531437	-0.480505969458722	0.202797019531437	1
2490000	1	-0.209079201790129	-0.547581032054921	-0.209079201790129	1	-0.157654327022005	-0.547581032054921	-0.157654327022005	1
2500000	1	-0.187744245962122	-0.651376162622158	-0.187744245962122	1	0.0180523421722297	-0.651376162622158	0.0180523421722297	1
2510000	1	-0.0542213332707532	-0.493169087087958	-0.0542213332707533	1	0.199031291783793	-0.493169087087958	0.199031291783793	1
2520000	1	-0.105941950708983	-0.739652260332069	-0.105941950708983	1	-0.038517354282376	-0.739652260332069	-0.038517354282376	1
2530000	1	-0.490637740533467	-0.656319626673867	-0.490637740533467	1	0.294177095308892	-0.656319626673867	0.294177095308892	1
2540000	1	-0.135835890123796	-0.318298306121504	-0.135835890123796	1	0.147470384614823	-0.318298306121504	0.147470384614823	1
2550000	1	-0.114572839898863	-0.594106790960415	-0.114572839898863	1	0.132401621722366	-0.594106790960415	0.132401621722366	1
