state	type_with_type	type_with_size	type_with_flowers	size_with_type	size_with_size	size_with_flowers	flowers_with_type	flowers_with_size	flowers_with_flowers
730000	6.65177755266525	0.0720389910727748	-17.3348002754227	0.0720389910727752	46.5970967228148	4.29158794710295	-17.3348002754227	4.29158794710295	65.4015106037231
740000	11.9482143250292	-5.3027352988428	-14.8656767736926	-5.3027352988428	45.2953612375478	3.22263131931876	-14.8656767736926	3.22263131931876	54.6304183204632
750000	7.30678256906711	-4.06040866015058	-6.94257674145699	-4.06040866015057	66.0690735813704	10.7928594635999	-6.94257674145699	10.7928594635999	66.502728908936
760000	5.92664888761388	2.10166538075891	-14.3025030971563	2.10166538075891	63.5093235623205	-5.83572208885381	-14.3025030971563	-5.83572208885381	62.2611470581341
770000	2.59933361175497	0.0895816810825334	-8.01015162934518	0.0895816810825335	40.9108048317819	1.20687578442528	-8.01015162934518	1.20687578442528	66.2342188007124
780000	3.35249024910135	-2.2444555553321	-10.7414117983823	-2.2444555553321	54.0377151109296	12.2043059558952	-10.7414117983823	12.2043059558952	62.1634694956337
790000	3.1647375028595	-1.64204754488056	-5.63400403526509	-1.64204754488056	47.7846328895488	1.2449104379401	-5.63400403526509	1.2449104379401	58.8206840674903
8e+05	8.03297951073223	-8.22634887449999	-15.2436352586583	-8.22634887449999	64.5072254993462	20.5944139517289	-15.2436352586583	20.5944139517289	63.8854103707847
810000	5.97156351252417	-4.88527357933089	-12.1709931278412	-4.88527357933089	65.0478920905839	8.7231778080925	-12.1709931278412	8.72317780809251	77.1027623335319
820000	18.3819434477647	2.79427851588167	-19.4213022045806	2.79427851588167	74.9920687152902	11.7783534251278	-19.4213022045806	11.7783534251278	54.2829193859039
830000	5.86055218693619	-4.06337394476971	-11.9436420057439	-4.06337394476971	56.0598613896582	12.7449811781395	-11.9436420057439	12.7449811781395	57.2991278695776
840000	7.85923840485082	2.60403370732735	-15.0400695940473	2.60403370732735	50.6737905723384	6.93743696663366	-15.0400695940473	6.93743696663366	56.4078464141032
850000	1.65422060510077	0.357137629882903	-6.33134590287929	0.357137629882903	48.1192993608855	0.163964315176628	-6.33134590287929	0.163964315176629	60.318107738889
860000	1.47559141098636	-1.27143486643531	-4.41575705150721	-1.27143486643531	70.7442319517501	8.25363849224444	-4.41575705150721	8.25363849224444	49.3432943094539
870000	7.57512450990853	-0.110587358412443	-14.5973911602311	-0.110587358412443	56.1617284590334	6.98738545654119	-14.5973911602311	6.98738545654119	67.6034557869282
880000	2.44970041865457	-1.11356118068887	-6.17475363316398	-1.11356118068887	101.065672007397	7.39568351893714	-6.17475363316398	7.39568351893714	47.7704746512442
890000	1.92057823908914	-1.70372200181049	-6.46522215295274	-1.70372200181049	53.1676097052909	10.2386761345942	-6.46522215295274	10.2386761345942	56.192362579605
9e+05	2.29930874211793	-4.42526079157107	-6.18511313770575	-4.42526079157106	42.9950335833616	12.0457206556785	-6.18511313770575	12.0457206556785	50.8725812044031
910000	3.67018101033752	-5.78806558709075	-8.16665209563437	-5.78806558709075	62.1704439448009	6.7064841042904	-8.16665209563437	6.7064841042904	52.7734859435877
920000	4.0989385062395	-1.47931867307519	-7.33695665425326	-1.47931867307519	49.9888866476094	2.36411100899031	-7.33695665425326	2.36411100899031	55.905039723662
930000	2.63299153486579	-1.13571259321073	-7.21322581330542	-1.13571259321073	64.7795717569686	15.9325045790877	-7.21322581330542	15.9325045790877	58.2290277540512
940000	2.5348822498937	1.67018859835509	-7.85679022431551	1.67018859835509	74.9445088778435	3.0661905684514	-7.85679022431551	3.0661905684514	70.168642374019
950000	24.2839517464104	-13.3667607555121	-21.8685904725922	-13.3667607555121	65.767047924148	-1.86258907619508	-21.8685904725922	-1.86258907619508	49.2740303051494
960000	14.3770237420686	-4.62396659445313	-11.6107510072707	-4.62396659445313	68.4388950577493	7.12936258638307	-11.6107510072707	7.12936258638307	46.1875317323839
970000	4.82784387762124	0.300878191147598	-14.2127952677111	0.300878191147598	63.2112739617777	-16.5514360643638	-14.2127952677111	-16.5514360643638	80.9411479297758
980000	4.18609094215812	-6.6755849736952	-13.0584648872721	-6.6755849736952	60.8657435929182	20.9817000818327	-13.0584648872721	20.9817000818327	78.0335628802003
990000	3.05103242234534	1.57297181334102	-8.73835124773555	1.57297181334102	70.8102834097532	-0.873594354281069	-8.73835124773555	-0.873594354281069	54.5719562945449
1e+06	1.21104902434037	-0.247633187788232	-3.25629384477964	-0.247633187788231	63.4444272220158	6.89195615856192	-3.25629384477964	6.89195615856192	53.093237110851
1010000	1.39475819152812	-3.36828192523403	-3.85869947474184	-3.36828192523403	73.540518842795	-2.6503403971381	-3.85869947474184	-2.65034039713811	76.8430524792035
1020000	2.91093215345449	0.795774435494134	-8.18518031710529	0.795774435494134	61.0026022599515	-3.64170886053257	-8.18518031710529	-3.64170886053257	61.8013196292858
1030000	8.82647683267592	5.8704756038073	-5.86479510685162	5.8704756038073	60.7874663881678	23.0847372215689	-5.86479510685162	23.0847372215689	75.5151168229996
1040000	8.84857486834791	-1.66665901337904	-10.7417703460482	-1.66665901337904	36.7288875839431	-5.34442626138923	-10.7417703460482	-5.34442626138923	47.0393786418779
1050000	3.05208236382426	-4.50564624754119	-7.36913311040349	-4.50564624754119	71.5147061245434	8.12357204194691	-7.36913311040349	8.12357204194691	56.4703632075982
1060000	2.83809669432449	0.420803338560275	-9.30467994000901	0.420803338560275	60.6808699075568	2.9117905543498	-9.30467994000901	2.9117905543498	66.4061401729852
1070000	3.65550914925506	-2.60589172021771	-11.870459622373	-2.60589172021771	69.3652904088872	11.3886869827772	-11.870459622373	11.3886869827772	76.3137517675707
1080000	8.16070282420519	-0.0312899989070252	-12.5653137889583	-0.0312899989070252	53.7168227481002	-2.22280668704294	-12.5653137889583	-2.22280668704294	65.1938056143718
1090000	2.59690281324001	-4.61097904633307	-6.57663231902405	-4.61097904633307	57.771293375622	16.2094642195892	-6.57663231902405	16.2094642195892	43.6102719259575
1100000	8.29940336410459	-6.12083944550826	-9.69667749679804	-6.12083944550826	58.9678912236717	1.15751262033787	-9.69667749679804	1.15751262033787	36.144838629698
1110000	8.2174066655825	-7.70263428084938	-10.5390475204039	-7.70263428084938	60.5511904067903	1.48566581653686	-10.5390475204039	1.48566581653686	49.954422335329
1120000	7.06971790426878	1.52665352671726	-8.68884339188027	1.52665352671726	54.5737612134102	9.1672464806909	-8.68884339188027	9.1672464806909	48.6786860512146
