state	type_with_type	type_with_size	type_with_sparsity	size_with_type	size_with_size	size_with_sparsity	sparsity_with_type	sparsity_with_size	sparsity_with_sparsity
8210000	1	0.0027651325984134	0.697340316987915	0.00276513259841341	1	0.0274795740819587	0.697340316987915	0.0274795740819587	1
8220000	1	-0.262101577160248	0.799615115665093	-0.262101577160248	1	-0.244894142720547	0.799615115665093	-0.244894142720547	1
8230000	1	-0.241429009397506	0.687789603098173	-0.241429009397506	1	-0.263460567533102	0.687789603098173	-0.263460567533102	1
8240000	1	0.0473546341532609	0.539598164432089	0.0473546341532609	1	-0.159521182594315	0.539598164432089	-0.159521182594315	1
8250000	1	-0.242227253121345	0.669930596030685	-0.242227253121345	1	-0.276004124440249	0.669930596030685	-0.276004124440249	1
8260000	1	0.052062008129146	0.599108656546549	0.0520620081291459	1	-0.365111508354569	0.599108656546549	-0.365111508354569	1
8270000	1	-0.184371238438569	0.919880280882834	-0.18437123843857	1	-0.134551378387133	0.919880280882834	-0.134551378387133	1
8280000	1	-0.174273455822415	0.878220071813267	-0.174273455822415	1	-0.130814051691234	0.878220071813267	-0.130814051691234	1
8290000	1	0.00676156582460607	0.80927918034212	0.00676156582460607	1	0.0704320056472668	0.80927918034212	0.0704320056472668	1
8300000	1	-0.461973267144052	0.460428500740933	-0.461973267144052	1	-0.187728868225849	0.460428500740933	-0.187728868225849	1
8310000	1	-0.324371119490365	0.819846182333726	-0.324371119490365	1	-0.267547552919566	0.819846182333726	-0.267547552919566	1
8320000	1	-0.0140674137063677	0.85745341082137	-0.0140674137063677	1	-0.102400022642417	0.85745341082137	-0.102400022642417	1
8330000	1	-0.0470744303161042	0.78235363420021	-0.0470744303161042	1	-0.073674076520631	0.78235363420021	-0.073674076520631	1
8340000	1	-0.216566593109246	0.833683614390202	-0.216566593109246	1	-0.239663797929706	0.833683614390202	-0.239663797929706	1
8350000	1	-0.427370130146525	0.791954995692173	-0.427370130146525	1	-0.248511883768473	0.791954995692173	-0.248511883768473	1
8360000	1	-0.240147863972478	0.842473993862136	-0.240147863972478	1	-0.180415100348882	0.842473993862136	-0.180415100348882	1
8370000	1	-0.0436336080059156	0.72134984472592	-0.0436336080059156	1	-0.280456522246121	0.72134984472592	-0.280456522246121	1
8380000	1	-0.156947672661342	0.651545014473407	-0.156947672661342	1	-0.252165967362079	0.651545014473407	-0.252165967362079	1
8390000	1	0.0117324659157567	0.860022093585494	0.0117324659157567	1	-0.0853767969827468	0.860022093585494	-0.0853767969827468	1
8400000	1	-0.00435499160358576	0.542986317586686	-0.00435499160358573	1	0.127575802272592	0.542986317586686	0.127575802272592	1
8410000	1	-0.190222741250432	0.806248902194052	-0.190222741250432	1	-0.05329899181009	0.806248902194051	-0.05329899181009	1
8420000	1	-0.316479269155708	0.803888822610718	-0.316479269155708	1	-0.266551281137597	0.803888822610718	-0.266551281137597	1
8430000	1	-0.44059838217669	0.66487481508214	-0.44059838217669	1	-0.171184919304896	0.66487481508214	-0.171184919304896	1
8440000	1	0.116906893113943	0.741063767393194	0.116906893113943	1	0.0758910973738283	0.741063767393194	0.0758910973738283	1
8450000	1	-0.208958057930492	0.869637776764809	-0.208958057930492	1	-0.266516277529409	0.869637776764809	-0.266516277529409	1
8460000	1	-0.446513474960571	0.753122564186442	-0.446513474960571	1	-0.17151656647719	0.753122564186442	-0.17151656647719	1
8470000	1	-0.180934542917288	0.786567256888475	-0.180934542917288	1	0.0110133269803052	0.786567256888475	0.0110133269803052	1
8480000	1	-0.161473254641842	0.799038352131363	-0.161473254641842	1	-0.0840999192769527	0.799038352131363	-0.0840999192769527	1
8490000	1	0.0680113418183342	0.654900881231295	0.0680113418183342	1	-0.242988956910553	0.654900881231295	-0.242988956910553	1
8500000	1	-0.3973796948008	0.75562538892138	-0.3973796948008	1	-0.292761323504798	0.75562538892138	-0.292761323504798	1
8510000	1	-0.253819427067188	0.833015921315176	-0.253819427067188	1	-0.0563614884069869	0.833015921315176	-0.0563614884069869	1
8520000	1	-0.0059005025785091	0.69216569165686	-0.00590050257850908	1	-0.23346734841775	0.69216569165686	-0.23346734841775	1
8530000	1	0.04032630493807	0.762458679978118	0.0403263049380699	1	-0.172703819368633	0.762458679978118	-0.172703819368633	1
8540000	1	0.0193551950961839	0.308123130300101	0.0193551950961839	1	-0.0696438114415314	0.308123130300101	-0.0696438114415314	1
8550000	1	-0.355980223395021	0.541814633802418	-0.355980223395021	1	-0.215733601583676	0.541814633802418	-0.215733601583676	1
8560000	1	-0.316204757585433	0.547543594698123	-0.316204757585433	1	0.0099909644890276	0.547543594698123	0.00999096448902756	1
8570000	1	0.00266256015846475	0.701182562314902	0.00266256015846474	1	-0.217344691500694	0.701182562314902	-0.217344691500694	1
8580000	1	-0.366677239397009	0.759967871276139	-0.366677239397009	1	-0.120187100061988	0.759967871276139	-0.120187100061988	1
8590000	1	0.108936144070605	0.595962534854115	0.108936144070605	1	0.0371216164947013	0.595962534854115	0.0371216164947013	1
8600000	1	-0.260309836356463	0.908365197331281	-0.260309836356463	1	-0.0796819713332133	0.908365197331281	-0.0796819713332132	1
8610000	1	-0.290143366580595	0.861695295344223	-0.290143366580595	1	-0.347081332936439	0.861695295344223	-0.347081332936439	1
8620000	1	-0.0819347210278985	0.777216406125478	-0.0819347210278985	1	-0.182907126891469	0.777216406125478	-0.182907126891469	1
8630000	1	-0.0754487115971162	0.778581782330663	-0.0754487115971162	1	-0.141030570441808	0.778581782330663	-0.141030570441808	1
