state	type_with_type	type_with_size	type_with_density	size_with_type	size_with_size	size_with_density	density_with_type	density_with_size	density_with_density
13180000	1	-0.222491077213427	-0.500833213154875	-0.222491077213427	1	0.324166446127559	-0.500833213154875	0.324166446127559	1
13190000	1	0.0457763294773031	-0.556002927589665	0.0457763294773031	1	-0.242370076477329	-0.556002927589665	-0.242370076477329	1
13200000	1	-0.237609429633514	-0.756976447915686	-0.237609429633514	1	0.172292723662181	-0.756976447915687	0.172292723662181	1
13210000	1	-0.172365747485944	-0.577632990079044	-0.172365747485944	1	0.137160682232861	-0.577632990079044	0.137160682232861	1
13220000	1	-0.0498223188885152	-0.63892866862482	-0.0498223188885152	1	0.242643439204432	-0.63892866862482	0.242643439204432	1
13230000	1	0.107993456545581	-0.332533988476557	0.107993456545581	1	0.123341870205836	-0.332533988476557	0.123341870205836	1
13240000	1	-0.450020867902785	-0.425064070338333	-0.450020867902785	1	0.210631675943228	-0.425064070338333	0.210631675943228	1
13250000	1	-0.418868011705443	-0.618417628260769	-0.418868011705443	1	0.366582512073605	-0.618417628260769	0.366582512073605	1
13260000	1	-0.156830348263923	-0.454184669806902	-0.156830348263923	1	-0.0682400750205428	-0.454184669806902	-0.0682400750205428	1
13270000	1	-0.373354508934254	-0.307376540858102	-0.373354508934254	1	-0.0384262967237441	-0.307376540858102	-0.0384262967237441	1
13280000	1	-0.284077671712652	-0.644326919297011	-0.284077671712652	1	0.0194742580744271	-0.644326919297011	0.0194742580744271	1
13290000	1	0.0905793138333987	-0.428586185869442	0.0905793138333987	1	-0.0474235823685028	-0.428586185869442	-0.0474235823685028	1
13300000	1	0.0224932487036827	-0.210860058438292	0.0224932487036827	1	0.266882888597345	-0.210860058438292	0.266882888597345	1
13310000	1	0.17697239368959	-0.475131039683148	0.17697239368959	1	-0.133421653784802	-0.475131039683148	-0.133421653784802	1
13320000	1	-0.191653937198199	-0.62741006236738	-0.191653937198199	1	0.27871552005871	-0.62741006236738	0.27871552005871	1
13330000	1	-0.150948321143024	-0.472602240869417	-0.150948321143024	1	0.0959236179871898	-0.472602240869417	0.0959236179871898	1
13340000	1	0.0492761346343709	-0.724081631676129	0.0492761346343709	1	-0.0201541695898447	-0.724081631676129	-0.0201541695898447	1
13350000	1	-0.0749753155577495	-0.543719392960337	-0.0749753155577495	1	-0.200532393573874	-0.543719392960337	-0.200532393573874	1
13360000	1	-0.217206372736968	-0.480156711063657	-0.217206372736968	1	0.270014081884615	-0.480156711063657	0.270014081884615	1
13370000	1	-0.305039706893183	-0.393662779449667	-0.305039706893183	1	0.317455318455922	-0.393662779449667	0.317455318455922	1
13380000	1	-0.416560208108027	-0.746674808889086	-0.416560208108027	1	0.106423607534543	-0.746674808889086	0.106423607534543	1
13390000	1	0.265232491519923	-0.452655120113197	0.265232491519923	1	0.143834322392942	-0.452655120113197	0.143834322392942	1
13400000	1	-0.24111474946745	-0.531896247991519	-0.24111474946745	1	0.130674492931587	-0.531896247991519	0.130674492931587	1
13410000	1	-0.206532869718553	-0.750759309713891	-0.206532869718553	1	-0.0072587216298115	-0.750759309713891	-0.00725872162981153	1
13420000	1	-0.220176394343871	-0.490900642588818	-0.220176394343871	1	-0.0569101598567765	-0.490900642588818	-0.0569101598567765	1
13430000	1	-0.112694614674532	-0.637094298653861	-0.112694614674532	1	0.023157074396463	-0.637094298653861	0.023157074396463	1
13440000	1	0.0117895834354072	-0.521088361965734	0.0117895834354072	1	-0.0124184859495206	-0.521088361965734	-0.0124184859495206	1
13450000	1	-0.15079855416357	-0.563444972239469	-0.15079855416357	1	0.18978993450694	-0.563444972239469	0.18978993450694	1
13460000	1	-0.15807870206472	-0.776338568711976	-0.15807870206472	1	0.129675904529884	-0.776338568711976	0.129675904529884	1
