state	type_with_type	type_with_density	density_with_type	density_with_density
3920000	1	-0.545796682953294	-0.545796682953294	1
3930000	1	-0.628852312920504	-0.628852312920504	1
3940000	1	-0.477530928998726	-0.477530928998726	1
3950000	1	-0.788292510170515	-0.788292510170515	1
3960000	1	-0.538627460843234	-0.538627460843234	1
3970000	1	-0.202668210761354	-0.202668210761354	1
3980000	1	-0.685573972283411	-0.685573972283411	1
3990000	1	-0.573352799220294	-0.573352799220293	1
4e+06	1	-0.386512997048644	-0.386512997048644	1
4010000	1	-0.280881934937557	-0.280881934937557	1
4020000	1	-0.561241737839937	-0.561241737839937	1
4030000	1	-0.600249895259565	-0.600249895259565	1
4040000	1	-0.474318482749557	-0.474318482749557	1
4050000	1	-0.677525573081948	-0.677525573081948	1
4060000	1	-0.65533494142391	-0.65533494142391	1
4070000	1	-0.456955036756202	-0.456955036756202	1
4080000	1	-0.594467500470492	-0.594467500470492	1
4090000	1	-0.523494715726556	-0.523494715726556	1
4100000	1	-0.80223007529521	-0.80223007529521	1
4110000	1	-0.702171036718172	-0.702171036718172	1
4120000	1	-0.692876766864452	-0.692876766864452	1
4130000	1	-0.673356278222933	-0.673356278222933	1
4140000	1	-0.682138168312148	-0.682138168312148	1
4150000	1	-0.609623435388133	-0.609623435388133	1
4160000	1	-0.759864056721395	-0.759864056721395	1
4170000	1	-0.549895365614382	-0.549895365614382	1
4180000	1	-0.680972852655217	-0.680972852655217	1
4190000	1	-0.755416134070243	-0.755416134070243	1
4200000	1	-0.536775016513131	-0.536775016513131	1
4210000	1	-0.53047734439336	-0.53047734439336	1
4220000	1	-0.721955177295766	-0.721955177295766	1
4230000	1	-0.374382058207539	-0.374382058207539	1
4240000	1	-0.6045179270753	-0.6045179270753	1
4250000	1	-0.717915046666075	-0.717915046666075	1
4260000	1	-0.469780480865129	-0.469780480865129	1
4270000	1	-0.522928572105134	-0.522928572105134	1
4280000	1	-0.314198506476278	-0.314198506476278	1
4290000	1	-0.498328106437757	-0.498328106437757	1
4300000	1	-0.665618575250585	-0.665618575250585	1
4310000	1	-0.506490597595628	-0.506490597595628	1
4320000	1	-0.526444326054367	-0.526444326054368	1
4330000	1	-0.454868385455433	-0.454868385455433	1
4340000	1	-0.53072728296743	-0.53072728296743	1
4350000	1	-0.530450986267753	-0.530450986267753	1
4360000	1	-0.575879038289877	-0.575879038289877	1
4370000	1	-0.329130548041077	-0.329130548041077	1
4380000	1	-0.242764085772698	-0.242764085772698	1
4390000	1	-0.611802844494528	-0.611802844494528	1
4400000	1	-0.395643484564964	-0.395643484564964	1
4410000	1	-0.6698231513773	-0.6698231513773	1
4420000	1	-0.582855800797623	-0.582855800797623	1
