Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
640	-79.25036	-85.35067	6.100306	1.510593	0.394982	0.121243	0.034063	0.255424	0.0288707	0.0125733	0.0733214	0.196395	0.278109
650	-79.08053	-83.66786	4.58733	1.735583	0.9264797	0.120877	0.0633533	0.232045	0.0200066	0.00442416	0.146369	0.166428	0.246497
660	-78.61652	-84.99938	6.382851	1.196083	0.5682196	0.0643921	0.13252	0.220428	0.0285441	0.00613954	0.386465	0.111013	0.0504984
670	-78.98683	-85.75881	6.771981	1.02358	0.5461578	0.189745	0.0654985	0.0854372	0.101691	0.0180915	0.36945	0.0884397	0.0816469
680	-78.96123	-84.03135	5.070124	1.609101	0.8115651	0.0480994	0.0370535	0.389696	0.0187836	0.0386928	0.29218	0.0489776	0.126517
690	-80.64267	-86.07779	5.435124	1.21707	1.021096	0.191526	0.0283722	0.0524635	0.0237383	0.0481954	0.394399	0.235929	0.025377
700	-78.96736	-84.86684	5.899484	1.226203	0.7797832	0.174199	0.138416	0.200844	0.13496	0.0469764	0.211199	0.0910043	0.00240088
710	-81.12334	-87.46888	6.345541	1.403538	0.3794197	0.0612968	0.41543	0.321932	0.0500382	0.0473295	0.0571761	0.0460408	0.000756412
720	-78.68134	-85.15259	6.471248	1.084521	0.6355829	0.0323563	0.0259969	0.0570548	0.00744602	0.178275	0.669687	0.0255885	0.00359538
730	-80.12359	-87.17585	7.052265	0.7932079	0.6363873	0.0544417	0.491908	0.0653767	0.00767458	0.173487	0.0613284	0.0963732	0.0494106
740	-78.59885	-84.04096	5.442114	1.484187	0.7504839	0.0258069	0.024596	0.136442	0.264209	0.0858943	0.0508765	0.325619	0.0865561
750	-79.17375	-84.30143	5.127679	1.441196	0.9506927	0.131131	0.220395	0.118204	0.13171	0.127851	0.0749699	0.120631	0.0751077
760	-78.79792	-83.80221	5.004293	1.716052	0.7375294	0.0692825	0.0588313	0.0160341	0.0582417	0.161115	0.0975417	0.298427	0.240526
770	-79.39393	-85.51144	6.117513	1.101491	0.7954806	0.0153132	0.0881983	0.105039	0.272859	0.0356272	0.0257541	0.208115	0.249094
780	-80.69565	-88.14736	7.451706	0.7663909	0.4634841	0.135072	0.148432	0.140733	0.0433352	0.0629585	0.0782618	0.130008	0.2612
790	-79.14729	-84.20425	5.05696	1.680815	0.746433	0.0401471	0.109223	0.00717828	0.164242	0.31988	0.222147	0.0334	0.103781
800	-79.75147	-86.3806	6.629126	0.9274149	0.7137499	0.0280274	0.0735878	0.0272368	0.109591	0.405183	0.202113	0.0346456	0.119615
810	-78.44877	-84.50247	6.053702	1.371863	0.5570141	0.0209071	0.0548931	0.0549365	0.369906	0.1512	0.0173539	0.0161289	0.314674
820	-78.7786	-83.82689	5.048298	1.52674	0.9048392	0.00638708	0.0897878	0.0429585	0.0377013	0.142551	0.107493	0.0299581	0.543163
