Iteration	Posterior	Likelihood	Prior	q_down	q_up	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
1120	-78.54098	-84.62165	6.080679	1.415622	0.4997664	0.109559	0.235189	0.0674955	0.054308	0.000520409	0.0828373	0.256424	0.193667
1130	-79.32659	-84.96225	5.635659	1.636144	0.5017545	0.231958	0.041099	0.137983	0.0485364	0.000465102	0.190824	0.0441399	0.304995
1140	-79.82828	-83.98843	4.160145	1.888064	0.9875915	0.377417	0.0485716	0.1673	0.091622	0.000684897	0.246308	0.0463534	0.0217434
1150	-79.249	-85.84854	6.599537	1.050733	0.6052269	0.227498	0.0982025	0.255745	0.171622	0.04758	0.0548138	0.114909	0.0296301
1160	-78.93431	-84.98634	6.052026	1.210963	0.7187512	0.258034	0.131033	0.0966979	0.106342	0.148578	0.056725	0.169985	0.0326053
1170	-79.58201	-84.62409	5.042084	1.413143	1.021543	0.478213	0.0271935	0.0235974	0.0259265	0.147031	0.107989	0.0237753	0.166275
1180	-79.47698	-86.06704	6.590061	0.9669635	0.6937338	0.282323	0.0203012	0.140843	0.00494013	0.306026	0.0719849	0.0091271	0.164455
1190	-79.056	-84.07048	5.01448	1.541486	0.9070017	0.37935	0.0243489	0.0951992	0.00715063	0.0598967	0.322718	0.0988904	0.0124461
1200	-79.87102	-83.51841	3.64739	1.927011	1.205022	0.176066	0.0284907	0.0371962	0.00704816	0.244549	0.316803	0.166657	0.0231903
1210	-82.43323	-86.17987	3.746639	1.674605	1.407803	0.190582	0.0216928	0.235475	0.117349	0.0723736	0.241214	0.0357498	0.0855636
1220	-82.37551	-84.75683	2.381311	2.154249	1.610823	0.0828928	0.375955	0.0409899	0.285042	0.0421509	0.06408	0.0440007	0.0648886
1230	-80.09801	-83.57179	3.473779	1.962637	1.256201	0.00185388	0.0544897	0.150378	0.397185	0.300777	0.0140607	0.0379876	0.0432678
1240	-79.24421	-83.83526	4.591041	1.653543	1.006664	0.0246363	0.0523605	0.149872	0.30935	0.384464	0.032162	0.025471	0.0216835
1250	-79.3344	-85.98819	6.653795	0.9626484	0.6661819	0.142386	0.041879	0.132641	0.179934	0.347534	0.034955	0.0230243	0.0976466
1260	-78.51801	-84.14343	5.625423	1.372954	0.770063	0.0190899	0.0384018	0.0621282	0.132415	0.24655	0.00886917	0.138081	0.354465
1270	-77.8145	-84.1926	6.378102	1.281152	0.4855249	0.0156036	0.0377295	0.0491838	0.0095805	0.0815909	0.00724945	0.243842	0.555221
1280	-78.98732	-86.14501	7.15769	1.108993	0.2678899	0.0374916	0.02206	0.0387585	0.0203534	0.0369483	0.23447	0.314919	0.294999
1290	-79.41694	-86.44039	7.023451	1.115342	0.3286608	0.162052	0.0280804	0.322769	0.0740886	0.0648277	0.150421	0.0447647	0.152997
1300	-79.14028	-84.09817	4.957896	1.516904	0.9598759	0.0879533	0.0858208	0.355528	0.0502358	0.0714074	0.131221	0.0493081	0.168526
1310	-79.28481	-86.32386	7.039051	0.9505896	0.4856129	0.00602636	0.235989	0.0461045	0.189662	0.0857169	0.157517	0.149267	0.129716
1320	-78.83537	-85.43165	6.596278	1.086313	0.5712752	0.0699471	0.0495439	0.25923	0.114855	0.0595556	0.227246	0.0888138	0.130808
1330	-79.52245	-86.40019	6.87774	1.160839	0.3560189	0.109452	0.0413804	0.11706	0.073552	0.249067	0.357722	0.033338	0.0184282
1340	-79.32938	-84.93013	5.600751	1.533767	0.6215854	0.0427937	0.129925	0.251637	0.0860029	0.315212	0.0775697	0.0435999	0.0532596
1350	-79.0928	-84.312	5.219196	1.418422	0.9277078	0.197095	0.0786775	0.132973	0.0039102	0.189176	0.312414	0.0445546	0.0412
1360	-79.12615	-84.56428	5.438133	1.616662	0.6199999	0.0178315	0.336474	0.119708	0.0268708	0.0286149	0.14158	0.267107	0.0618141
1370	-79.35869	-86.35489	6.996197	0.9556898	0.5019395	0.0582907	0.0897084	0.345426	0.057883	0.0377714	0.189538	0.143993	0.0773896
1380	-79.13497	-86.0194	6.884423	1.121545	0.3919709	0.274742	0.113119	0.0423701	0.0315429	0.00629614	0.431602	0.0589106	0.0414174
1390	-80.71814	-85.79824	5.0801	1.828337	0.5873403	0.0824488	0.171915	0.185576	0.0413576	0.0599291	0.388041	0.0428292	0.0279036
1400	-80.20299	-83.50478	3.301793	2.030052	1.27478	0.347363	0.121145	0.0136294	0.0604532	0.039305	0.366844	0.0404896	0.0107712
1410	-79.8788	-83.96614	4.08734	1.737482	1.174576	0.21403	0.142812	0.0913804	0.13379	0.0334499	0.0515912	0.106086	0.226861
1420	-79.11205	-84.21664	5.104585	1.468644	0.9347915	0.282146	0.0889515	0.0344592	0.185722	0.0760926	0.0920452	0.0265564	0.214027
1430	-79.02617	-83.7946	4.768427	1.636723	0.9347915	0.126366	0.0902467	0.142435	0.132544	0.0245208	0.0910834	0.19169	0.201114
1440	-78.89669	-84.52393	5.627238	1.549484	0.592625	0.0376843	0.0491985	0.105172	0.0978684	0.0181058	0.532444	0.141	0.0185278
1450	-79.4665	-86.76573	7.299236	1.029623	0.2764863	0.0192318	0.0546747	0.125294	0.154558	0.0979656	0.168887	0.156695	0.222694
1460	-81.9459	-85.29431	3.348412	2.398587	0.8829353	0.015138	0.0614315	0.219728	0.0956167	0.110072	0.0177708	0.0855688	0.394674
1470	-79.10389	-84.55631	5.452417	1.346584	0.8829353	0.186034	0.247335	0.14291	0.0944442	0.0357685	0.0112988	0.136108	0.146102
1480	-80.20824	-87.60579	7.397552	0.8884954	0.3684562	0.358692	0.0481141	0.197454	0.0265448	0.0393686	0.117183	0.16655	0.0460945
1490	-80.34918	-84.86809	4.518912	1.923306	0.7729658	0.187411	0.170563	0.11811	0.0996008	0.0175709	0.295642	0.0870195	0.0240836
1500	-80.81223	-83.36008	2.547847	2.290001	1.391804	0.110826	0.546209	0.0131072	0.151914	0.0204057	0.0490539	0.104344	0.00413954
1510	-80.65095	-83.34721	2.696261	2.29321	1.314387	0.0787591	0.0221551	0.223951	0.135319	0.475247	0.0129323	0.0390956	0.0125403
1520	-79.14362	-84.6744	5.530777	1.579256	0.6110835	0.106466	0.211662	0.0300103	0.0938629	0.280303	0.0568028	0.0892281	0.131665
1530	-79.46644	-85.38481	5.918366	1.53306	0.4634846	0.0745111	0.167864	0.0403467	0.239191	0.181268	0.0516587	0.0867804	0.15838
1540	-78.6297	-85.31668	6.686974	1.094205	0.5180358	0.130697	0.0444971	0.02651	0.0861186	0.29163	0.0915944	0.102446	0.226507
1550	-79.17476	-85.24844	6.073686	1.130735	0.7881498	0.0321152	0.311869	0.00602438	0.328955	0.0257037	0.0102492	0.247245	0.037839
1560	-79.51688	-83.97724	4.460368	1.848576	0.8769683	0.137747	0.0643013	0.0205806	0.151966	0.333365	0.0127773	0.210024	0.0692379
1570	-79.77436	-83.63418	3.85982	1.899545	1.126272	0.296618	0.261662	0.031221	0.113128	0.0747409	0.0335623	0.0424663	0.146601
1580	-79.06446	-83.78227	4.717809	1.687309	0.9095146	0.0525802	0.193553	0.203325	0.0264158	0.133737	0.0283182	0.0473448	0.314726
1590	-78.61109	-85.51109	6.899996	1.108379	0.3973509	0.181614	0.0999583	0.108464	0.0527356	0.0322782	0.0212481	0.25861	0.245092
1600	-78.98691	-85.59399	6.607082	1.253601	0.398586	0.123472	0.0771051	0.294796	0.024936	0.110052	0.100099	0.158737	0.110803
1610	-79.11417	-85.96218	6.848004	1.131736	0.3999896	0.0509712	0.182573	0.159326	0.0598845	0.197739	0.206372	0.0431977	0.0999371
1620	-78.44797	-85.28206	6.834094	1.110698	0.4279831	0.156428	0.211044	0.00830625	0.0348339	0.060144	0.0116694	0.0543091	0.463265
1630	-78.77783	-84.81437	6.036543	1.233542	0.703914	0.0942246	0.138667	0.0546439	0.33905	0.0393912	0.01395	0.126368	0.193705
1640	-80.16991	-83.32109	3.151174	2.155393	1.224748	0.0702308	0.182705	0.0300064	0.21021	0.0646106	0.0633532	0.116437	0.262447
1650	-79.45582	-83.66262	4.206796	1.757217	1.095113	0.0724019	0.0202037	0.114536	0.217439	0.0761253	0.143112	0.0608303	0.295351
1660	-79.40059	-83.60864	4.208055	1.821651	1.03005	0.00669445	0.00102926	0.115118	0.307911	0.310555	0.083559	0.133136	0.0419969
1670	-80.10171	-83.79441	3.692699	1.865106	1.244272	0.010194	0.373866	0.0408315	0.112411	0.185463	0.0437978	0.163371	0.0700656
1680	-79.28005	-83.94463	4.66458	1.785136	0.8383025	0.00552206	0.115894	0.104967	0.0992256	0.161587	0.328095	0.122451	0.0622581
1690	-78.93772	-83.95029	5.012573	1.530469	0.9189722	0.0298198	0.126629	0.068316	0.0420996	0.292701	0.358488	0.0354297	0.0465165
1700	-78.96029	-84.39097	5.430682	1.367343	0.8730436	0.113491	0.0133096	0.232157	0.0427695	0.286155	0.0890026	0.046477	0.176638
1710	-79.03434	-85.62413	6.589795	1.063323	0.5975069	0.140759	0.0239326	0.293404	0.0597986	0.321316	0.0636221	0.0835721	0.0135959
1720	-78.85054	-84.97743	6.126887	1.276502	0.6157822	0.199691	0.0253395	0.211	0.0960509	0.241575	0.098795	0.108262	0.0192881
1730	-81.17724	-87.64778	6.470543	1.466857	0.2535996	0.276625	0.0788359	0.0803632	0.0199253	0.142412	0.20978	0.0697309	0.122328
1740	-79.53754	-86.59358	7.056039	0.9081647	0.5195435	0.205252	0.0716284	0.142859	0.0137626	0.100731	0.239678	0.181025	0.0450634
1750	-79.22623	-86.38508	7.158852	0.9358159	0.4404862	0.101693	0.0807453	0.117989	0.00960783	0.118488	0.0172655	0.207358	0.346853
1760	-78.50499	-84.85572	6.350726	1.332941	0.4474238	0.0868293	0.0571667	0.162975	0.0653871	0.0475174	0.138731	0.28523	0.156164
1770	-80.0703	-87.55947	7.489173	0.8382051	0.3729362	0.0112914	0.0756788	0.156754	0.0975795	0.208473	0.0286873	0.16939	0.252146
1780	-79.26743	-85.81956	6.552133	0.9933642	0.6862971	0.0135707	0.0432628	0.141827	0.0256944	0.51769	0.0141544	0.107058	0.136743
1790	-78.6569	-84.50038	5.843476	1.349266	0.6847244	0.115681	0.154584	0.0866846	0.0858789	0.266605	0.0453091	0.0390363	0.206221
1800	-82.98672	-87.09863	4.111909	1.544514	1.355259	0.0903084	0.00256799	0.00945023	0.108234	0.07528	0.341187	0.207646	0.165326
1810	-79.53413	-83.5859	4.051769	1.87482	1.055023	0.152879	0.0638858	0.0156963	0.164289	0.289074	0.132247	0.12462	0.0573086
1820	-79.44044	-83.67856	4.238118	1.798699	1.03797	0.0728197	0.0938525	0.226678	0.00484633	0.392707	0.109611	0.0402545	0.0592306
1830	-79.45049	-83.64426	4.193778	1.776475	1.082364	0.222766	0.110704	0.10365	0.00778443	0.100619	0.0153778	0.033252	0.405847
1840	-78.43095	-83.90274	5.47179	1.623281	0.5965515	0.130596	0.00965506	0.116202	0.00191631	0.0732578	0.0016983	0.0242099	0.642464
1850	-79.07248	-84.03706	4.964577	1.532317	0.9411225	0.258598	0.0625594	0.0999313	0.0103451	0.228957	0.00382933	0.227028	0.108753
