Iteration	Replicate_ID	Posterior	Likelihood	Prior	correlations[1]	proportional_rates[1]	proportional_rates[2]	relative_rates[1]	relative_rates[2]	sigma2
150	0	-83905.56	-83905.15	-0.4050278	0.0121769	0.917595	0.0824052	1.83519	0.16481	0.9995628
151	1	-83880.97	-83880.57	-0.4052838	0.0185478	0.918205	0.0817952	1.83641	0.16359	0.9998187
152	0	-83905.56	-83905.15	-0.4050278	0.0121769	0.917595	0.0824052	1.83519	0.16481	0.9995628
153	1	-83881.3	-83880.9	-0.4052838	0.0197502	0.918205	0.0817952	1.83641	0.16359	0.9998187
154	0	-83903.47	-83903.07	-0.4050278	0.0191795	0.917595	0.0824052	1.83519	0.16481	0.9995628
155	1	-83881.11	-83880.71	-0.4052838	0.015862	0.918205	0.0817952	1.83641	0.16359	0.9998187
156	0	-83903.37	-83902.97	-0.4050278	0.0187718	0.917595	0.0824052	1.83519	0.16481	0.9995628
157	1	-83880.92	-83880.51	-0.4052838	0.0181466	0.918205	0.0817952	1.83641	0.16359	0.9998187
158	0	-83903.23	-83902.83	-0.4050278	0.0171651	0.917595	0.0824052	1.83519	0.16481	0.9995628
159	1	-83881.27	-83880.86	-0.4052838	0.0196528	0.918205	0.0817952	1.83641	0.16359	0.9998187
160	0	-83903.23	-83902.83	-0.4050278	0.0171651	0.917595	0.0824052	1.83519	0.16481	0.9995628
161	1	-83881.08	-83880.67	-0.4052838	0.0159805	0.918205	0.0817952	1.83641	0.16359	0.9998187
162	0	-83903.51	-83903.11	-0.4050278	0.0156022	0.917595	0.0824052	1.83519	0.16481	0.9995628
163	1	-83881.19	-83880.79	-0.4052838	0.0155886	0.918205	0.0817952	1.83641	0.16359	0.9998187
164	0	-83903.75	-83903.35	-0.4050278	0.0212078	0.917953	0.0820471	1.83591	0.164094	0.9995628
165	1	-83881.26	-83880.86	-0.4052838	0.0196433	0.918205	0.0817952	1.83641	0.16359	0.9998187
166	0	-83902.44	-83902.04	-0.4050278	0.0157347	0.918545	0.0814549	1.83709	0.16291	0.9995628
167	1	-83881.32	-83880.91	-0.4052838	0.0152389	0.918205	0.0817952	1.83641	0.16359	0.9998187
168	0	-83902.35	-83901.95	-0.4050278	0.0160512	0.918545	0.0814549	1.83709	0.16291	0.9995628
169	1	-83881.32	-83880.91	-0.4052838	0.0152389	0.918205	0.0817952	1.83641	0.16359	0.9998187
170	0	-83902.17	-83901.77	-0.4050278	0.0178158	0.918545	0.0814549	1.83709	0.16291	0.9995628
171	1	-83881.27	-83880.86	-0.4052838	0.0153742	0.918205	0.0817952	1.83641	0.16359	0.9998187
172	0	-83902.92	-83902.51	-0.4050278	0.0205401	0.918545	0.0814549	1.83709	0.16291	0.9995628
173	1	-83881.22	-83880.81	-0.4052838	0.0155167	0.918205	0.0817952	1.83641	0.16359	0.9998187
174	0	-83903.9	-83903.49	-0.4050278	0.0211992	0.919335	0.0806649	1.83867	0.16133	0.9995628
175	1	-83881.09	-83880.69	-0.4052838	0.0159386	0.918205	0.0817952	1.83641	0.16359	0.9998187
176	0	-83904.22	-83903.81	-0.4050278	0.021695	0.919335	0.0806649	1.83867	0.16133	0.9995628
177	1	-83881.1	-83880.69	-0.4052838	0.015919	0.918205	0.0817952	1.83641	0.16359	0.9998187
178	0	-83903.34	-83902.94	-0.4050278	0.0151402	0.919335	0.0806649	1.83867	0.16133	0.9995628
179	1	-83881.7	-83881.29	-0.4052838	0.0143937	0.918205	0.0817952	1.83641	0.16359	0.9998187
180	0	-83902.84	-83902.43	-0.4050278	0.0180049	0.919335	0.0806649	1.83867	0.16133	0.9995628
181	1	-83883.47	-83883.06	-0.4052838	0.0230659	0.918205	0.0817952	1.83641	0.16359	0.9998187
182	0	-83902.94	-83902.54	-0.4050278	0.0164441	0.919335	0.0806649	1.83867	0.16133	0.9995628
183	1	-83883.47	-83883.06	-0.4052838	0.0230659	0.918205	0.0817952	1.83641	0.16359	0.9998187
184	0	-83902.94	-83902.54	-0.4050278	0.0164441	0.919335	0.0806649	1.83867	0.16133	0.9995628
185	1	-83881.61	-83881.2	-0.4052838	0.0145734	0.918205	0.0817952	1.83641	0.16359	0.9998187
186	0	-83902.94	-83902.54	-0.4050278	0.0164441	0.919335	0.0806649	1.83867	0.16133	0.9995628
187	1	-83881.64	-83881.23	-0.4052838	0.0145147	0.918205	0.0817952	1.83641	0.16359	0.9998187
188	0	-83902.94	-83902.54	-0.4050278	0.0164441	0.919335	0.0806649	1.83867	0.16133	0.9995628
189	1	-83881.64	-83881.23	-0.4052838	0.0145147	0.918205	0.0817952	1.83641	0.16359	0.9998187
190	0	-83902.23	-83901.83	-0.4050278	0.0167022	0.918483	0.0815174	1.83697	0.163035	0.9995628
191	1	-83881.44	-83881.03	-0.4052838	0.0149397	0.918205	0.0817952	1.83641	0.16359	0.9998187
192	0	-83902.23	-83901.83	-0.4050278	0.0167022	0.918483	0.0815174	1.83697	0.163035	0.9995628
193	1	-83881.44	-83881.03	-0.4052838	0.0149397	0.918205	0.0817952	1.83641	0.16359	0.9998187
194	0	-83902.23	-83901.83	-0.4050278	0.0183692	0.918483	0.0815174	1.83697	0.163035	0.9995628
195	1	-83881.43	-83881.03	-0.4052838	0.0149481	0.918205	0.0817952	1.83641	0.16359	0.9998187
196	0	-83902.23	-83901.83	-0.4050278	0.016709	0.918483	0.0815174	1.83697	0.163035	0.9995628
197	1	-83880.89	-83880.48	-0.4052838	0.0176416	0.918205	0.0817952	1.83641	0.16359	0.9998187
198	0	-83904.42	-83904.01	-0.4050278	0.0129629	0.919197	0.0808033	1.83839	0.161607	0.9995628
199	1	-83880.9	-83880.49	-0.4052838	0.0179268	0.918205	0.0817952	1.83641	0.16359	0.9998187
200	0	-83902.94	-83902.53	-0.4050278	0.0195969	0.919197	0.0808033	1.83839	0.161607	0.9995628
201	1	-83881.93	-83881.52	-0.4052838	0.0139768	0.918205	0.0817952	1.83641	0.16359	0.9998187
202	0	-83904.46	-83904.05	-0.4050278	0.0223106	0.919197	0.0808033	1.83839	0.161607	0.9995628
203	1	-83880.97	-83880.56	-0.4052838	0.0184954	0.918205	0.0817952	1.83641	0.16359	0.9998187
204	0	-83904.46	-83904.05	-0.4050278	0.012907	0.919197	0.0808033	1.83839	0.161607	0.9995628
205	1	-83880.97	-83880.56	-0.4052838	0.0184954	0.918205	0.0817952	1.83641	0.16359	0.9998187
206	0	-83904.4	-83904	-0.4050278	0.0129791	0.919197	0.0808033	1.83839	0.161607	0.9995628
207	1	-83881.21	-83880.8	-0.4052838	0.0155385	0.918205	0.0817952	1.83641	0.16359	0.9998187
208	0	-83902.66	-83902.25	-0.4050278	0.0168383	0.919197	0.0808033	1.83839	0.161607	0.9995628
209	1	-83880.97	-83880.57	-0.4052838	0.0185426	0.918205	0.0817952	1.83641	0.16359	0.9998187
210	0	-83902.61	-83902.2	-0.4050278	0.0175548	0.919197	0.0808033	1.83839	0.161607	0.9995628
211	1	-83880.97	-83880.57	-0.4052838	0.0185426	0.918205	0.0817952	1.83641	0.16359	0.9998187
212	0	-83902.61	-83902.2	-0.4050278	0.0175548	0.919197	0.0808033	1.83839	0.161607	0.9995628
213	1	-83881.03	-83880.62	-0.4052838	0.0163115	0.918944	0.081056	1.83789	0.162112	0.9998187
214	0	-83903.99	-83903.59	-0.4050278	0.0135403	0.919197	0.0808033	1.83839	0.161607	0.9995628
215	1	-83881.17	-83880.76	-0.4052838	0.0194098	0.918944	0.081056	1.83789	0.162112	0.9998187
216	0	-83902.68	-83902.28	-0.4050278	0.0166678	0.919197	0.0808033	1.83839	0.161607	0.9995628
217	1	-83882.15	-83881.74	-0.4052838	0.0199854	0.919487	0.0805126	1.83897	0.161025	0.9998187
218	0	-83902.68	-83902.28	-0.4050278	0.0166678	0.919197	0.0808033	1.83839	0.161607	0.9995628
219	1	-83881.68	-83881.28	-0.4052838	0.0176757	0.919487	0.0805126	1.83897	0.161025	0.9998187
220	0	-83903.82	-83903.42	-0.4050278	0.0214194	0.919197	0.0808033	1.83839	0.161607	0.9995628
221	1	-83882.22	-83881.82	-0.4052838	0.0151023	0.919487	0.0805126	1.83897	0.161025	0.9998187
222	0	-83903.82	-83903.42	-0.4050278	0.0214194	0.919197	0.0808033	1.83839	0.161607	0.9995628
223	1	-83881.85	-83881.45	-0.4052838	0.0190593	0.919487	0.0805126	1.83897	0.161025	0.9998187
224	0	-83903.82	-83903.42	-0.4050278	0.0214194	0.919197	0.0808033	1.83839	0.161607	0.9995628
225	1	-83881.72	-83881.32	-0.4052838	0.0169565	0.919487	0.0805126	1.83897	0.161025	0.9998187
226	0	-83902.7	-83902.3	-0.4050278	0.0165465	0.919197	0.0808033	1.83839	0.161607	0.9995628
227	1	-83882.48	-83882.07	-0.4052838	0.0207129	0.919487	0.0805126	1.83897	0.161025	0.9998187
228	0	-83902.86	-83902.45	-0.4050278	0.0193426	0.919197	0.0808033	1.83839	0.161607	0.9995628
229	1	-83882.48	-83882.07	-0.4052838	0.0207129	0.919487	0.0805126	1.83897	0.161025	0.9998187
230	0	-83903.59	-83903.18	-0.4050278	0.0210283	0.919197	0.0808033	1.83839	0.161607	0.9995628
231	1	-83881.81	-83881.4	-0.4052838	0.018844	0.919487	0.0805126	1.83897	0.161025	0.9998187
232	0	-83906.49	-83906.08	-0.4050278	0.018668	0.920497	0.0795035	1.84099	0.159007	0.9995628
