Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
1540	-37.71694	-39.5141	1.797168	0.0773048	0.19027
1550	-37.41214	-38.18758	0.7754382	0.17702	0.178556
1560	-38.27566	-40.51502	2.239361	0.192098	0.0373896
1570	-37.44664	-38.61385	1.167209	0.200559	0.121274
1580	-38.15151	-39.56858	1.417068	0.244228	0.0560841
1590	-37.52638	-38.93219	1.405805	0.153926	0.147357
1600	-38.71415	-37.18234	-1.531811	0.293172	0.261129
1610	-39.36471	-38.22431	-1.140397	0.169483	0.351106
1620	-39.38743	-38.13083	-1.2566	0.341458	0.189138
1630	-38.16461	-40.82229	2.657679	0.0545737	0.138884
1640	-38.91655	-37.68544	-1.231105	0.318494	0.209907
1650	-37.91672	-37.66115	-0.2555715	0.183528	0.26085
1660	-37.62195	-38.75476	1.132806	0.112457	0.212339
1670	-37.73296	-38.44311	0.710142	0.246975	0.114225
1680	-39.62539	-37.12023	-2.505156	0.27087	0.367266
1690	-37.49737	-38.46016	0.9627884	0.219582	0.119858
1700	-38.61219	-37.82221	-0.7899824	0.304477	0.18593
1710	-37.59444	-37.70506	0.1106171	0.226705	0.186133
1720	-37.5483	-39.00322	1.454923	0.160064	0.136988
1730	-38.01405	-39.89677	1.882717	0.212056	0.0481498
1740	-38.05489	-40.48265	2.427763	0.0444787	0.168782
1750	-37.89547	-37.3794	-0.5160617	0.243935	0.222879
1760	-38.32378	-37.34216	-0.9816205	0.278928	0.227985
1770	-37.83811	-37.634	-0.2041089	0.253074	0.186871
1780	-38.70426	-41.22303	2.518767	0.128298	0.077125
1790	-37.50524	-38.91775	1.412508	0.176741	0.123964
1800	-37.49474	-38.05672	0.561975	0.220572	0.153391
1810	-37.62575	-39.26352	1.637767	0.0908034	0.1905
1820	-38.49105	-41.4075	2.916444	0.0425048	0.128666
1830	-38.01884	-39.25954	1.2407	0.0838248	0.231678
1840	-37.56539	-38.56312	0.9977245	0.227669	0.108762
1850	-37.52584	-37.72541	0.1995732	0.208162	0.197014
1860	-37.47304	-38.18927	0.7162266	0.217244	0.143432
1870	-37.5851	-37.90016	0.3150606	0.170601	0.224628
1880	-38.42173	-39.66216	1.240425	0.069922	0.245605
1890	-38.12769	-38.05303	-0.07466267	0.277884	0.150912
1900	-37.80812	-37.614	-0.1941191	0.24965	0.189435
1910	-38.09989	-39.33866	1.238776	0.0806892	0.23498
1920	-37.41089	-38.26128	0.850392	0.173828	0.175293
1930	-39.60397	-37.3382	-2.265766	0.244346	0.373171
1940	-39.33757	-40.37028	1.03271	0.0572064	0.276211
1950	-37.45356	-37.90186	0.4482928	0.198415	0.185339
1960	-37.73953	-37.5957	-0.1438312	0.241586	0.193168
1970	-37.56339	-37.66004	0.09664827	0.210995	0.203046
1980	-37.4418	-38.60456	1.162759	0.174544	0.147673
1990	-37.76925	-39.4046	1.635354	0.0789397	0.202572
2000	-37.85347	-38.18614	0.3326784	0.258962	0.13475
2010	-37.5788	-39.24106	1.662251	0.179872	0.099323
2020	-37.57895	-37.83133	0.2523829	0.177485	0.223142
2030	-37.54114	-38.30368	0.7625401	0.228263	0.128424
2040	-38.2902	-39.50729	1.217095	0.257746	0.0597907
2050	-37.47479	-38.58128	1.106489	0.134775	0.192288
2060	-39.17693	-37.78679	-1.390137	0.194611	0.347487
2070	-38.37189	-38.96664	0.5947513	0.281014	0.090125
2080	-40.05091	-38.54427	-1.506641	0.168545	0.383588
2090	-38.2422	-37.583	-0.6591957	0.191662	0.28748
2100	-37.432	-38.13081	0.6988096	0.170878	0.191298
2110	-37.69163	-39.56662	1.874995	0.0781548	0.182716
2120	-38.88198	-40.76215	1.880171	0.0347629	0.225662
2130	-37.89044	-40.24557	2.355131	0.0598986	0.159618
2140	-38.51067	-38.69615	0.1854845	0.294286	0.112104
2150	-37.58439	-39.31339	1.729003	0.101709	0.171737
2160	-37.63568	-37.56388	-0.07180461	0.218115	0.210435
2170	-39.49527	-39.29475	-0.2005264	0.333879	0.105758
2180	-37.49967	-38.81161	1.311943	0.20844	0.100927
2190	-38.01353	-37.35757	-0.6559594	0.216271	0.262593
2200	-38.47247	-41.39505	2.922578	0.0336164	0.137026
2210	-38.66818	-39.35247	0.6842937	0.0888603	0.274566
2220	-40.7477	-44.01689	3.269187	0.102488	0.0383009
2230	-39.38703	-37.42468	-1.96235	0.229881	0.361502
2240	-46.55501	-43.19015	-3.364865	0.127294	0.584889
2250	-37.86956	-39.87546	2.0059	0.158001	0.0915952
2260	-38.05743	-38.67879	0.6213545	0.267288	0.10156
2270	-38.57808	-37.5644	-1.013683	0.299999	0.209676
2280	-41.15971	-41.81355	0.6538418	0.0432605	0.322789
2290	-37.4501	-38.66991	1.219816	0.18119	0.136112
