Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
223	1	-39.82429	-39.60514	-0.2191475	0.104114	0.337127
224	0	-38.25124	-37.88105	-0.3701891	0.168052	0.286197
225	1	-37.47359	-38.69568	1.222093	0.207136	0.10997
226	0	-37.55656	-39.14212	1.585562	0.103822	0.181978
227	1	-39.05848	-37.19518	-1.863298	0.312001	0.270851
228	0	-38.21446	-37.53034	-0.6841226	0.196153	0.285136
229	1	-39.59896	-39.61481	0.01584853	0.332021	0.0889796
230	0	-37.41781	-38.4058	0.9879892	0.168267	0.169002
231	1	-37.80554	-37.93827	0.1327255	0.255065	0.155868
232	0	-37.49882	-37.90479	0.4059703	0.217663	0.169736
233	1	-37.60316	-37.60441	0.001250936	0.209326	0.212931
234	0	-37.56132	-37.66398	0.1026532	0.206194	0.20733
235	1	-37.86894	-37.75128	-0.1176644	0.175937	0.256562
236	0	-37.79103	-39.02451	1.233487	0.0952627	0.220862
237	1	-37.40825	-38.31553	0.9072863	0.181595	0.162626
238	0	-38.03403	-39.65269	1.618665	0.0667557	0.216193
239	1	-37.57182	-38.35711	0.7852927	0.231749	0.122979
240	0	-37.53472	-38.30754	0.7728276	0.14293	0.212872
241	1	-38.20438	-39.88956	1.685188	0.0581434	0.219076
242	0	-37.77306	-39.72428	1.951224	0.192344	0.0619615
243	1	-38.69029	-37.33482	-1.355474	0.300009	0.239104
244	0	-37.83033	-39.03561	1.205281	0.240409	0.0781449
245	1	-37.63938	-39.4703	1.830922	0.0861828	0.178484
246	0	-38.36522	-37.19672	-1.168501	0.237225	0.285783
247	1	-37.79113	-38.07621	0.2850757	0.254317	0.143494
248	0	-37.46021	-38.06955	0.6093491	0.168925	0.200956
249	1	-38.24196	-37.28176	-0.9601992	0.269457	0.235611
250	0	-37.43656	-38.42628	0.9897231	0.152415	0.184705
251	1	-37.59799	-39.10252	1.504529	0.098275	0.194504
252	0	-39.79821	-39.02627	-0.7719376	0.133771	0.355082
253	1	-38.02925	-39.59146	1.562214	0.0692221	0.218589
254	0	-37.48841	-38.58392	1.095518	0.215017	0.112991
255	1	-37.53488	-38.21665	0.6817639	0.149032	0.214613
256	0	-39.84767	-39.81227	-0.03539994	0.094548	0.330866
257	1	-40.1175	-37.34136	-2.776143	0.25975	0.401726
258	0	-37.86301	-37.89773	0.03471745	0.259373	0.160002
259	1	-37.51009	-37.78129	0.2712038	0.19348	0.205527
260	0	-38.42736	-37.12717	-1.300192	0.259109	0.275242
261	1	-38.07272	-37.41894	-0.6537777	0.207273	0.271403
262	0	-37.41663	-38.09283	0.6762006	0.193193	0.170931
263	1	-37.40854	-38.22862	0.8200766	0.190209	0.161522
264	0	-39.2991	-37.08363	-2.215466	0.267822	0.345362
265	1	-37.56544	-39.17847	1.613033	0.178491	0.104943
266	0	-38.59124	-38.09069	-0.5005506	0.30378	0.161698
267	1	-42.59938	-38.54773	-4.051652	0.470755	0.300581
268	0	-37.79371	-37.54811	-0.2456042	0.19731	0.24621
269	1	-37.66188	-39.50068	1.838795	0.190228	0.0737609
270	0	-37.57755	-38.1004	0.5228475	0.154818	0.222514
271	1	-37.49294	-38.82318	1.330242	0.150705	0.157086
272	0	-40.35398	-37.53535	-2.818634	0.377195	0.287941
273	1	-38.52438	-37.92156	-0.6028159	0.300287	0.173999
274	0	-41.36881	-42.68196	1.313145	0.298091	0.0111728
275	1	-37.41194	-38.21682	0.8048804	0.19452	0.158521
276	0	-38.67739	-39.55282	0.8754285	0.282299	0.0646649
277	1	-37.64641	-39.54385	1.897444	0.0947463	0.164191
278	0	-37.41206	-38.26552	0.8534525	0.172397	0.17646
279	1	-37.73302	-38.79569	1.06267	0.107588	0.223249
280	0	-40.7164	-37.39085	-3.325548	0.386654	0.322143
281	1	-40.3322	-37.46526	-2.866936	0.254555	0.414741
282	0	-38.27453	-37.39129	-0.8832365	0.210529	0.28791
283	1	-37.74348	-39.60845	1.86497	0.164059	0.0976758
284	0	-38.32679	-37.17588	-1.150902	0.242901	0.278592
285	1	-37.68279	-37.56382	-0.1189643	0.231341	0.201271
286	0	-39.67114	-37.78918	-1.881962	0.20789	0.376569
287	1	-37.72882	-37.94492	0.2160972	0.161878	0.241874
288	0	-38.17832	-40.33345	2.155128	0.125454	0.111289
289	1	-38.35361	-37.22638	-1.127226	0.273296	0.246158
290	0	-38.7127	-37.36215	-1.350549	0.302154	0.236535
291	1	-37.48957	-38.80268	1.313112	0.158624	0.150643
292	0	-37.59672	-37.85532	0.2586015	0.232867	0.167225
293	1	-38.52857	-39.16759	0.6390158	0.0954047	0.271922
294	0	-38.05087	-37.74875	-0.3021158	0.271486	0.176901
295	1	-37.49029	-38.85976	1.369476	0.178111	0.126301
296	0	-38.32795	-37.85108	-0.4768683	0.171397	0.292041
297	1	-37.6009	-38.40081	0.7999134	0.13345	0.220019
298	0	-37.55277	-39.15102	1.598256	0.105585	0.179122
299	1	-41.0341	-37.32457	-3.709533	0.292725	0.449144
300	0	-37.42345	-38.1826	0.7591488	0.170066	0.186914
301	1	-39.2191	-37.8177	-1.401402	0.333477	0.209591
302	0	-37.903	-39.83076	1.927758	0.14276	0.113566
303	1	-37.61939	-39.37889	1.759502	0.192585	0.0782336
304	0	-37.68619	-38.48393	0.79774	0.242152	0.111503
305	1	-37.67887	-37.56991	-0.1089553	0.20149	0.23026
306	0	-39.02195	-39.279	0.2570523	0.100367	0.299859
307	1	-38.15675	-38.4862	0.3294452	0.126833	0.267157
308	0	-37.71694	-39.5141	1.797168	0.0773048	0.19027
309	1	-37.66757	-39.12776	1.460196	0.0931722	0.203426
310	0	-37.41214	-38.18758	0.7754382	0.17702	0.178556
311	1	-37.41312	-38.11727	0.7041513	0.185537	0.176179
312	0	-38.27566	-40.51502	2.239361	0.192098	0.0373896
313	1	-37.58558	-38.63284	1.047263	0.228571	0.103593
314	0	-37.44664	-38.61385	1.167209	0.200559	0.121274
315	1	-37.53133	-38.35992	0.828592	0.226375	0.124623
316	0	-38.15151	-39.56858	1.417068	0.244228	0.0560841
317	1	-37.92926	-39.98086	2.051598	0.0567321	0.188928
318	0	-37.52638	-38.93219	1.405805	0.153926	0.147357
319	1	-37.46932	-38.66891	1.199585	0.134362	0.184682
320	0	-38.71415	-37.18234	-1.531811	0.293172	0.261129
321	1	-38.996	-37.28351	-1.712493	0.313383	0.25648
322	0	-39.36471	-38.22431	-1.140397	0.169483	0.351106
323	1	-38.73404	-40.57077	1.836731	0.233714	0.030453
324	0	-39.38743	-38.13083	-1.2566	0.341458	0.189138
325	1	-37.49048	-38.85752	1.367043	0.17757	0.127051
326	0	-38.16461	-40.82229	2.657679	0.0545737	0.138884
327	1	-38.48058	-37.66739	-0.8131906	0.188075	0.304331
328	0	-38.91655	-37.68544	-1.231105	0.318494	0.209907
329	1	-38.49676	-40.85407	2.357308	0.118001	0.101329
330	0	-37.91672	-37.66115	-0.2555715	0.183528	0.26085
331	1	-38.01823	-40.36597	2.347733	0.0840474	0.136107
332	0	-37.62195	-38.75476	1.132806	0.112457	0.212339
333	1	-37.65864	-37.60187	-0.05676706	0.198463	0.228791
334	0	-37.73296	-38.44311	0.710142	0.246975	0.114225
335	1	-37.50472	-38.18132	0.6765991	0.154064	0.210025
336	0	-39.62539	-37.12023	-2.505156	0.27087	0.367266
337	1	-38.75707	-37.06561	-1.691464	0.278495	0.289557
338	0	-37.49737	-38.46016	0.9627884	0.219582	0.119858
339	1	-40.92472	-38.05076	-2.87396	0.405069	0.264832
